                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.4203,                0.73124,                 1.3406,                 1.4721,                0.80714,                 1.3423,                   0.75,                0.47475,                 0.5408,                0.27216,                 2.0587,                 1.8515,                 2.0129,                 1.9691,                 2.1801,                 1.9323,               0.001684,               0.001684,               0.001684
                     87,                 1.4231,                 0.7292,                 1.3428,                 1.4805,                 0.8053,                 1.3452,                0.74916,                0.47567,                0.54058,                0.27168,                 2.0596,                 1.8527,                 2.0136,                 1.9709,                 2.1799,                 1.9335,               0.001585,               0.001585,               0.001585
                     88,                 1.4091,                0.72198,                 1.3441,                  1.465,                0.78973,                 1.3469,                  0.748,                0.47705,                0.54089,                0.27184,                 2.0598,                 1.8525,                 2.0137,                 1.9712,                 2.1805,                 1.9335,               0.001486,               0.001486,               0.001486
                     89,                 1.4137,                0.72447,                 1.3371,                 1.4733,                0.79704,                 1.3408,                0.74894,                0.47721,                0.54087,                0.27179,                 2.0608,                 1.8531,                 2.0147,                  1.972,                 2.1806,                 1.9344,               0.001387,               0.001387,               0.001387
                     90,                 1.4109,                0.72506,                 1.3363,                 1.4659,                0.79621,                 1.3396,                0.74737,                0.47776,                0.54072,                 0.2717,                 2.0612,                 1.8532,                 2.0152,                 1.9731,                 2.1792,                 1.9353,               0.001288,               0.001288,               0.001288
                     91,                 1.3762,                0.67555,                 1.4082,                 1.4222,                0.66523,                 1.4198,                0.74864,                0.47904,                0.54211,                0.27288,                   2.06,                 1.8487,                 2.0147,                 1.9731,                 2.1732,                 1.9354,               0.001189,               0.001189,               0.001189
                     92,                 1.3706,                 0.6702,                 1.4061,                 1.4146,                0.66047,                 1.4165,                0.75061,                0.47938,                0.54307,                0.27349,                 2.0583,                 1.8454,                 2.0137,                 1.9716,                 2.1696,                 1.9342,                0.00109,                0.00109,                0.00109
                     93,                 1.3659,                0.66388,                  1.396,                 1.4096,                0.65154,                 1.4041,                0.74884,                0.47986,                0.54372,                 0.2736,                  2.057,                 1.8435,                  2.013,                 1.9712,                 2.1671,                  1.934,               0.000991,               0.000991,               0.000991
                     94,                 1.3562,                0.66087,                 1.3938,                 1.4027,                0.64781,                 1.4036,                0.74962,                0.48025,                0.54389,                0.27373,                 2.0565,                 1.8427,                 2.0128,                 1.9708,                 2.1656,                 1.9337,               0.000892,               0.000892,               0.000892
                     95,                 1.3512,                0.65648,                 1.3916,                 1.4002,                0.63804,                 1.4022,                0.74857,                0.48114,                 0.5443,                0.27434,                 2.0547,                 1.8421,                 2.0116,                 1.9692,                 2.1656,                 1.9323,               0.000793,               0.000793,               0.000793
                     96,                  1.349,                0.65442,                 1.3904,                 1.3986,                0.63514,                 1.4003,                0.74838,                0.48261,                0.54535,                0.27497,                 2.0535,                 1.8401,                 2.0108,                 1.9689,                 2.1625,                 1.9317,               0.000694,               0.000694,               0.000694
                     97,                 1.3477,                0.65118,                 1.3861,                 1.3954,                0.63155,                 1.3961,                0.74801,                0.48457,                0.54667,                0.27584,                 2.0512,                 1.8373,                 2.0091,                 1.9671,                 2.1578,                 1.9307,               0.000595,               0.000595,               0.000595
                     98,                 1.3424,                0.65162,                 1.3883,                 1.3886,                0.63723,                  1.399,                0.74691,                0.48509,                0.54704,                0.27623,                 2.0504,                 1.8367,                 2.0087,                 1.9662,                 2.1569,                   1.93,               0.000496,               0.000496,               0.000496
                     99,                 1.3389,                0.64478,                 1.3819,                  1.388,                0.62378,                 1.3932,                0.74506,                0.48595,                0.54715,                 0.2764,                 2.0497,                 1.8366,                 2.0083,                 1.9654,                 2.1576,                 1.9296,               0.000397,               0.000397,               0.000397
                    100,                 1.3306,                0.64124,                 1.3756,                 1.3772,                0.62583,                 1.3868,                0.74407,                0.48727,                0.54765,                0.27657,                 2.0489,                 1.8359,                 2.0078,                 1.9657,                 2.1562,                 1.9297,               0.000298,               0.000298,               0.000298
